,launch_speed,launch_angle,Home Run or Out
2729,108.5,12,Hit - Not Home Run
7907,95.6,16,Hit - Not Home Run
5498,100.5,27,Out
13771,88.7,43,Out
7443,106.0,24,Home Run
12145,80.0,69,Out
10315,98.8,22,Hit - Not Home Run
6866,88.9,25,Hit - Not Home Run
8764,81.2,47,Out
6364,102.6,6,Hit - Not Home Run
1989,104.5,1,Hit - Not Home Run
12409,80.0,-14,Out
14696,62.6,-39,Out
9903,92.0,15,Hit - Not Home Run
6422,104.7,-15,Out
4617,88.5,-34,Out
10487,35.5,-48,Hit - Not Home Run
2049,102.9,12,Hit - Not Home Run
6522,105.3,18,Hit - Not Home Run
1031,82.0,10,Out
42,96.4,7,Hit - Not Home Run
4135,83.3,1,Hit - Not Home Run
2820,90.0,20,Out
1641,89.3,7,Out
4091,91.1,35,Out
4391,96.4,-15,Hit - Not Home Run
4920,80.0,69,Out
9742,85.9,9,Out
12122,98.4,18,Hit - Not Home Run
12906,105.5,30,Home Run
10188,106.5,11,Hit - Not Home Run
12071,79.6,36,Out
2537,100.6,-1,Hit - Not Home Run
5295,91.2,-3,Out
2921,86.7,25,Out
11208,80.0,69,Out
7424,98.3,-8,Hit - Not Home Run
9019,76.8,27,Out
14004,103.9,-4,Out
4970,106.6,-2,Hit - Not Home Run
2300,102.4,9,Hit - Not Home Run
9910,99.1,8,Hit - Not Home Run
2770,77.4,-30,Out
11901,86.5,36,Out
12024,94.9,8,Out
9444,89.4,-36,Out
9034,91.1,18,Out
3503,94.8,22,Hit - Not Home Run
39,90.2,21,Out
4034,91.8,33,Out
7503,106.4,29,Home Run
14090,80.5,-14,Out
10244,83.7,-18,Out
6115,105.5,20,Hit - Not Home Run
4036,103.5,32,Home Run
9641,106.0,6,Hit - Not Home Run
2654,101.1,22,Out
5061,77.3,-24,Out
369,102.5,41,Out
12573,72.7,-3,Out
10031,85.2,-26,Out
1551,104.8,-1,Hit - Not Home Run
3004,80.0,69,Out
9358,99.7,20,Out
4734,98.9,34,Out
13726,74.2,-1,Out
572,82.9,-21,Out
6419,40.0,-36,Hit - Not Home Run
4820,94.9,6,Hit - Not Home Run
9344,98.4,-16,Hit - Not Home Run
