"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"QUEENS","2015",2016,"Civil Rights Claims",9000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",1500
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",150000
"QUEENS","2014",2016,"Peace Officer/Police Action (Pi)",20000
"MANHATTAN (NEW YORK)","2013",2016,"Peace Officer/Police Action (Pi)",17500
"** Borough Missing **","2015",2016,"Automobile Accident",3002.73
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",10000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",85000
"BROOKLYN (KINGS)","2007",2016,"Peace Officer/Police Action (Pi)",5000
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",12000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2012",2016,"Peace Officer/Police Action (Pi)",1e+05
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2009",2016,"Peace Officer/Police Action (Pi)",50000
"MANHATTAN (NEW YORK)","2013",2016,"Employee Uniformed Service (Pi)",3e+05
"BRONX","2014",2016,"Automobile Accident",3184.45
"STATEN ISLAND (RICHMOND)","2014",2016,"Automobile Accident (Pi)",10000
"STATEN ISLAND (RICHMOND)","2014",2016,"Civil Rights Claims",9000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",10000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2011",2016,"Peace Officer/Police Action (Pi)",75000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",30000
"QUEENS","2013",2016,"Peace Officer/Police Action (Pi)",25000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"BROOKLYN (KINGS)","2012",2016,"Peace Officer/Police Action (Pi)",3000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",25000
"QUEENS","2014",2016,"Peace Officer/Police Action (Pi)",35000
"STATEN ISLAND (RICHMOND)","2014",2016,"Automobile Accident (Pi)",150000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",20000
"QUEENS","2012",2016,"Automobile Accident",3729
"MANHATTAN (NEW YORK)","2015",2016,"Automobile Accident",2455.46
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",10000
"QUEENS","2013",2016,"Automobile Accident (Pi)",10000
"QUEENS","2013",2016,"Peace Officer/Police Action (Pi)",17500
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",50000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",5000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",15000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",10000
"BRONX","2014",2016,"Civil Rights Claims",45000
"BROOKLYN (KINGS)","2007",2016,"Civil Rights Claims",10000
"** Borough Missing **","2016",2016,"Civil Rights Claims",20000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",7500
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",10000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",22500
