"launch_speed","launch_angle","event"
80.9,16,"Hit - Not Home Run"
100.3,3,"Hit - Not Home Run"
104.5,27,"Home Run"
74.3,24,"Hit - Not Home Run"
99.4,32,"Out"
94.8,59,"Out"
78.9,22,"Hit - Not Home Run"
75.7,11,"Hit - Not Home Run"
102.2,31,"Home Run"
100.6,5,"Hit - Not Home Run"
90.4,39,"Out"
89.9,52,"Out"
94.8,34,"Out"
100.8,13,"Hit - Not Home Run"
70.2,28,"Hit - Not Home Run"
70.4,10,"Hit - Not Home Run"
102.2,6,"Out"
84.7,-7,"Out"
101.2,-5,"Hit - Not Home Run"
92.4,-14,"Out"
70.7,-25,"Out"
95.5,2,"Hit - Not Home Run"
95.2,11,"Hit - Not Home Run"
40.8,-32,"Out"
80.2,51,"Out"
112.5,19,"Hit - Not Home Run"
92.9,32,"Home Run"
81.2,14,"Hit - Not Home Run"
105.1,11,"Hit - Not Home Run"
106.1,16,"Out"
107.2,11,"Hit - Not Home Run"
102.6,12,"Hit - Not Home Run"
88.3,4,"Hit - Not Home Run"
104.7,7,"Out"
84.6,23,"Hit - Not Home Run"
89.1,19,"Out"
85.9,-20,"Out"
80,69,"Out"
69.3,19,"Out"
92.6,-28,"Out"
58.6,-35,"Out"
72.7,28,"Hit - Not Home Run"
96.9,-13,"Out"
80,69,"Out"
91.2,49,"Out"
85.1,22,"Out"
82.9,-21,"Out"
85.1,21,"Hit - Not Home Run"
104.5,-4,"Hit - Not Home Run"
80.5,-17,"Out"
104.3,7,"Hit - Not Home Run"
93.1,-23,"Out"
99.1,25,"Home Run"
84.1,6,"Out"
85.2,-15,"Out"
71.4,36,"Out"
65.5,21,"Out"
83.4,24,"Out"
80,69,"Out"
55.6,-60,"Out"
94.4,55,"Out"
103.9,2,"Hit - Not Home Run"
90.9,27,"Out"
86.4,5,"Out"
91.7,-14,"Out"
93.7,9,"Hit - Not Home Run"
68,-37,"Out"
99.3,7,"Out"
100.2,19,"Hit - Not Home Run"
77.6,14,"Hit - Not Home Run"
83.4,-4,"Out"
82.9,-21,"Out"
99.1,8,"Hit - Not Home Run"
96.3,19,"Hit - Not Home Run"
95.5,-2,"Hit - Not Home Run"
88.9,41,"Out"
99.9,3,"Hit - Not Home Run"
80.9,32,"Out"
82.9,-21,"Out"
76.9,-20,"Out"
85.5,25,"Out"
100.7,0,"Hit - Not Home Run"
79,17,"Hit - Not Home Run"
100.6,-11,"Out"
88,5,"Out"
99.8,23,"Hit - Not Home Run"
80,69,"Out"
109.7,5,"Hit - Not Home Run"
85.1,44,"Out"
82.9,-21,"Out"
77.1,18,"Hit - Not Home Run"
79.2,-25,"Out"
86.5,11,"Hit - Not Home Run"
93.5,31,"Out"
70.4,15,"Out"
100.9,-6,"Out"
98.3,39,"Home Run"
100.2,-14,"Out"
81.5,-42,"Out"
98.9,33,"Home Run"
89.6,5,"Hit - Not Home Run"
91.1,4,"Hit - Not Home Run"
88.7,-1,"Out"
102.1,23,"Home Run"
101.2,-11,"Out"
97.5,10,"Hit - Not Home Run"
84.7,48,"Out"
99.3,33,"Out"
53.4,-45,"Out"
98.8,25,"Hit - Not Home Run"
103.5,14,"Hit - Not Home Run"
84.7,-3,"Out"
86.5,12,"Hit - Not Home Run"
89.1,32,"Out"
74.3,7,"Out"
91.8,3,"Hit - Not Home Run"
101.3,3,"Hit - Not Home Run"
29.2,-4,"Hit - Not Home Run"
100.7,5,"Out"
80,69,"Out"
90.3,-17,"Hit - Not Home Run"
94,16,"Hit - Not Home Run"
99.6,18,"Out"
102.4,-4,"Out"
91.5,34,"Out"
101.5,-9,"Hit - Not Home Run"
91.1,42,"Out"
96.7,-17,"Out"
96.8,8,"Out"
82.3,-55,"Out"
98.1,-7,"Hit - Not Home Run"
82,-9,"Out"
